customerID,productID,rating
5409,1,4
5477,1,4
5507,1,3
8,1,3
158,1,1
173,1,0
5408,1,1
5579,1,0
63318,1,2
5732,1,0
5747,1,2
5832,1,1
5803,1,4
5833,1,2
5960,1,0
323,1,2
442,1,2
6101,1,0
6331,1,2
6366,1,0
21778,1,4
6337,1,2
29858,1,0
959,1,0
6882,1,0
6946,1,0
7068,1,0
7100,1,0
7186,1,0
7266,1,0
6989,1,0
7048,1,0
7367,1,0
10692,1,0
1478,1,0
1644,1,0
81446,1,4
37,1,3
65873,1,0
53,1,0
1695,1,0
1794,1,0
11362,1,0
11380,1,2
469,1,0
11548,1,4
43246,1,4
769,1,4
85739,1,0
5504,1,0
5520,1,0
11044,1,0
11831,1,0
1012,1,0
5606,1,4
5656,1,2
12080,1,4
12333,1,4
12366,1,0
1416,1,0
12450,1,4
25758,1,4
1707,1,0
6258,1,0
6275,1,4
6390,1,0
6407,1,0
1975,1,0
449,1,0
6592,1,0
6706,1,2
515,1,2
6757,1,4
7110,1,0
7176,1,4
31204,1,0
15255,1,0
11635,1,0
11749,1,2
11753,1,0
7294,1,0
10684,1,2
1586,1,0
1620,1,0
10719,1,4
10853,1,0
1669,1,0
20015,1,0
12192,1,0
10918,1,2
10955,1,0
11002,1,0
1968,1,0
12237,1,0
12401,1,0
11254,1,0
16174,1,0
12603,1,4
7364,1,0
7371,1,4
11353,1,0
11473,1,0
16542,1,0
16595,1,2
38751,1,2
11740,1,0
16760,1,2
70233,1,0
11954,1,4
7957,1,0
16912,1,0
16929,1,0
4896,1,2
17060,1,2
12057,1,2
8089,1,0
43827,1,0
17193,1,0
8359,1,0
12241,1,0
12389,1,4
17529,1,4
8716,1,0
12574,1,2
17713,1,4
17798,1,0
54671,1,0
8825,1,2
8918,1,0
8961,1,0
55938,1,0
7459,1,2
7542,1,4
8977,1,0
9184,1,0
9193,1,2
7629,1,2
7695,1,0
9361,1,0
9393,1,2
13085,1,0
7929,1,2
2234,1,2
8144,1,0
2302,1,0
2382,1,0
13585,1,0
8361,1,0
8364,1,2
8445,1,0
2850,1,0
13935,1,2
8781,1,2
8913,1,4
3070,1,2
14220,1,0
3395,1,4
9131,1,4
14436,1,0
14539,1,0
539,1,0
3636,1,0
14654,1,2
9213,1,0
9263,1,2
7684,1,0
7820,1,4
2296,1,0
2297,1,0
2344,1,4
2495,1,0
2529,1,0
9747,1,4
9804,1,2
2664,1,0
2749,1,0
8523,1,0
8603,1,0
10304,1,0
2982,1,0
3014,1,0
3046,1,4
3133,1,2
3330,1,0
8972,1,4
21318,1,0
66898,1,0
9124,1,0
3599,1,0
3667,1,4
3766,1,2
3784,1,0
9341,1,0
2136,1,0
21836,1,0
3818,1,2
3849,1,0
2369,1,4
4050,1,2
2489,1,0
16088,1,2
16136,1,0
